Date,Open,Close,Low,High,Volume,Volatility,Daily Return,Day_Type,DayOfWeek
2021-11-26 00:00:00,"101,3057","101,9043","100,6058","102,0608",6703200,"0,0144","0,0059",Bull,5
2021-11-29 00:00:00,"102,5489","101,9687","100,9466","102,8528",7114100,"0,0186","-0,0057",Bear,1
2021-11-30 00:00:00,"100,8821","100,9650","100,4217","102,3002",9483300,"0,0186","0,0008",Bull,2
2021-12-01 00:00:00,"102,1805","100,0625","99,9612","104,3814",7618500,"0,0433","-0,0207",Bear,3
2021-12-02 00:00:00,"100,5322","102,6041","100,5322","103,2119",7709400,"0,0267","0,0206",Bull,4
2021-12-03 00:00:00,"103,0001","102,4384","101,3701","103,9210",7014100,"0,0248","-0,0055",Bear,5
2021-12-06 00:00:00,"103,1474","104,3906","102,8712","105,1365",8280200,"0,0220","0,0121",Bull,1
2021-12-07 00:00:00,"105,9561","107,0612","105,7075","107,9176",8786900,"0,0209","0,0104",Bull,2
2021-12-08 00:00:00,"106,6192","107,0520","106,0390","107,4203",5807000,"0,0130","0,0041",Bull,3
2021-12-09 00:00:00,"106,6376","106,2232","106,1219","107,1993",5664700,"0,0101","-0,0039",Bear,4
2021-12-10 00:00:00,"106,6560","107,4940","106,6192","107,8255",6110800,"0,0113","0,0079",Bull,5
2021-12-13 00:00:00,"106,9691","106,4166","106,1035","107,5861",6479400,"0,0139","-0,0052",Bear,1
2021-12-14 00:00:00,"105,5049","105,6338","105,0076","106,1771",6854600,"0,0111","0,0012",Bull,2
2021-12-15 00:00:00,"105,7259","105,6062","103,8381","106,0850",6902400,"0,0213","-0,0011",Bear,3
2021-12-16 00:00:00,"105,9009","104,6024","104,2617","106,2692",7544400,"0,0190","-0,0123",Bear,4
2021-12-17 00:00:00,"102,4660","100,0349","99,6573","102,9541",13696900,"0,0322","-0,0237",Bear,5
2021-12-20 00:00:00,"98,5983","99,5376","98,1747","99,5652",6313700,"0,0141","0,0095",Bull,1
2021-12-21 00:00:00,"100,3756","101,6372","100,2559","102,1253",4682200,"0,0186","0,0126",Bull,2
2021-12-22 00:00:00,"101,4807","102,8988","101,2965","102,9356",3643300,"0,0162","0,0140",Bull,3
2021-12-23 00:00:00,"103,3500","103,4790","103,1290","103,9762",3359600,"0,0082","0,0012",Bull,4
2021-12-27 00:00:00,"103,6908","105,1826","103,4974","105,3207",3716700,"0,0176","0,0144",Bull,1
2021-12-28 00:00:00,"104,9800","106,4258","104,8050","107,0796",4561600,"0,0217","0,0138",Bull,2
2021-12-29 00:00:00,"106,2692","107,1717","106,1863","107,7058",4215300,"0,0143","0,0085",Bull,3
2021-12-30 00:00:00,"107,1717","107,0428","106,8954","108,0557",4068700,"0,0108","-0,0012",Bear,4
2021-12-31 00:00:00,"106,5179","107,7150","106,4534","108,1847",3674900,"0,0163","0,0112",Bull,5
2022-01-03 00:00:00,"107,2546","107,4479","105,6983","108,4793",5475700,"0,0259","0,0018",Bull,1
2022-01-04 00:00:00,"107,6505","105,2010","105,1365","107,7887",8367600,"0,0246","-0,0228",Bear,2
2022-01-05 00:00:00,"105,3483","101,7017","101,6648","105,8640",8662300,"0,0399","-0,0346",Bear,3
2022-01-06 00:00:00,"101,2965","102,3463","101,2873","103,0277",6099900,"0,0172","0,0104",Bull,4
2022-01-07 00:00:00,"99,6573","99,0587","98,9759","101,0294",11266400,"0,0206","-0,0060",Bear,5
2022-01-10 00:00:00,"98,1839","97,6406","96,1580","98,5431",8499400,"0,0243","-0,0055",Bear,1
2022-01-11 00:00:00,"97,6498","95,8081","95,5042","97,7695",13073200,"0,0232","-0,0189",Bear,2
2022-01-12 00:00:00,"96,1764","95,6515","95,4766","96,9868",11810500,"0,0157","-0,0055",Bear,3
2022-01-13 00:00:00,"95,9094","94,2978","94,0124","96,3882",9818500,"0,0248","-0,0168",Bear,4
2022-01-14 00:00:00,"93,8466","92,1982","91,2497","93,8466",13703200,"0,0277","-0,0176",Bear,5
2022-01-18 00:00:00,"91,3234","89,9973","89,7947","91,4983",11396000,"0,0187","-0,0145",Bear,2
2022-01-19 00:00:00,"90,1907","89,2054","89,1225","90,6051",10856800,"0,0164","-0,0109",Bear,3
2022-01-20 00:00:00,"89,7763","88,1464","88,0267","91,1116",20311500,"0,0344","-0,0182",Bear,4
2022-01-21 00:00:00,"88,3121","88,6897","87,9161","90,6235",13438300,"0,0307","0,0043",Bull,5
2022-01-24 00:00:00,"87,2531","90,3381","86,9400","90,5683",17201400,"0,0416","0,0354",Bull,1
2022-01-25 00:00:00,"89,0212","89,3343","87,6030","90,3288",12368500,"0,0306","0,0035",Bull,2
2022-01-26 00:00:00,"89,9697","88,0174","87,3912","90,8353",11863000,"0,0383","-0,0217",Bear,3
2022-01-27 00:00:00,"88,9752","87,7780","87,5386","89,4816",7322200,"0,0218","-0,0135",Bear,4
2022-01-28 00:00:00,"87,5386","89,5185","86,3691","89,5277",8345400,"0,0361","0,0226",Bull,5
2022-01-31 00:00:00,"89,3527","90,5406","88,7910","90,6143",8807700,"0,0204","0,0133",Bull,1
2022-02-01 00:00:00,"90,6327","90,9458","89,1409","91,1945",11601900,"0,0227","0,0035",Bull,2
2022-02-02 00:00:00,"88,2200","89,9973","87,2439","91,3050",15578800,"0,0460","0,0201",Bull,3
2022-02-03 00:00:00,"89,1777","88,3490","88,1003","89,7579",8901100,"0,0186","-0,0093",Bear,4
2022-02-04 00:00:00,"87,8609","87,4833","86,4059","88,3490",8267600,"0,0221","-0,0043",Bear,5
2022-02-07 00:00:00,"87,8056","87,6583","87,3728","88,5055",6849000,"0,0129","-0,0017",Bear,1
2022-02-08 00:00:00,"87,7504","87,4096","86,8847","88,4318",7161000,"0,0176","-0,0039",Bear,2
2022-02-09 00:00:00,"88,6344","89,4448","88,5884","90,2183",9353700,"0,0184","0,0091",Bull,3
2022-02-10 00:00:00,"88,3527","88,2138","87,9084","89,6021",9098800,"0,0192","-0,0016",Bear,4
2022-02-11 00:00:00,"88,4730","86,7515","86,4090","89,3060",6924800,"0,0327","-0,0195",Bear,5
2022-02-14 00:00:00,"86,7700","86,6774","85,5390","87,4549",7948500,"0,0221","-0,0011",Bear,1
2022-02-15 00:00:00,"88,0657","87,4734","87,3345","88,3526",7722200,"0,0116","-0,0067",Bear,2
2022-02-16 00:00:00,"87,3160","88,0935","86,2239","88,4360",6545800,"0,0253","0,0089",Bull,3
2022-02-17 00:00:00,"87,3901","86,1221","85,8722","87,5844",6578200,"0,0196","-0,0145",Bear,4
2022-02-18 00:00:00,"85,6686","86,3905","85,6408","87,0476",6210600,"0,0164","0,0084",Bull,5
2022-02-22 00:00:00,"86,6311","86,1776","85,4834","87,0384",8622500,"0,0179","-0,0052",Bear,2
2022-02-23 00:00:00,"86,8903","82,9752","82,7809","86,8903",9674800,"0,0473","-0,0451",Bear,3
2022-02-24 00:00:00,"80,9853","84,2340","80,7539","84,4098",9260500,"0,0451","0,0401",Bull,4
2022-02-25 00:00:00,"84,5024","85,6871","83,5583","85,8814",7039400,"0,0275","0,0140",Bull,5
2022-02-28 00:00:00,"84,4931","84,9559","83,8730","85,4372",8591500,"0,0185","0,0055",Bull,1
2022-03-01 00:00:00,"84,6782","83,4287","82,9752","84,6967",7100700,"0,0203","-0,0148",Bear,2
2022-03-02 00:00:00,"84,0118","85,8629","83,8452","86,3350",10721100,"0,0296","0,0220",Bull,3
2022-03-03 00:00:00,"86,5201","84,7152","84,2988","86,5386",6587400,"0,0259","-0,0209",Bear,4
2022-03-04 00:00:00,"84,1970","83,3270","82,7901","84,3728",7179800,"0,0188","-0,0103",Bear,5
2022-03-07 00:00:00,"83,3362","78,1716","78,0698","83,3454",14608700,"0,0633","-0,0620",Bear,1
2022-03-08 00:00:00,"78,4493","77,7459","77,5238","80,4485",10692000,"0,0373","-0,0090",Bear,2
2022-03-09 00:00:00,"80,0598","81,0779","79,9024","81,5684",8811600,"0,0208","0,0127",Bull,3
2022-03-10 00:00:00,"79,6803","80,6706","79,2268","80,8557",9114300,"0,0204","0,0124",Bull,4
2022-03-11 00:00:00,"81,7720","76,5704","76,3946","82,1978",15351700,"0,0710","-0,0636",Bear,5
2022-03-14 00:00:00,"76,1910","73,3866","73,0441","76,2095",18199300,"0,0415","-0,0368",Bear,1
2022-03-15 00:00:00,"74,5065","76,9314","74,3029","77,2276",12542300,"0,0393","0,0325",Bull,2
2022-03-16 00:00:00,"81,4573","80,9020","79,2453","83,3825",21207900,"0,0508","-0,0068",Bear,3
2022-03-17 00:00:00,"80,9483","81,1334","79,6062","81,4018",8554200,"0,0222","0,0023",Bull,4
2022-03-18 00:00:00,"79,7081","82,9289","78,6529","83,0678",23784200,"0,0554","0,0404",Bull,5
2022-03-21 00:00:00,"82,9382","80,3930","79,5692","83,0400",11925300,"0,0418","-0,0307",Bear,1
2022-03-22 00:00:00,"80,8928","81,3463","80,6614","82,4662",8447400,"0,0223","0,0056",Bull,2
2022-03-23 00:00:00,"80,8557","79,8006","79,6895","81,1797",7670500,"0,0184","-0,0130",Bear,3
2022-03-24 00:00:00,"80,3652","80,6336","79,1897","80,6614",6163400,"0,0183","0,0033",Bull,4
2022-03-25 00:00:00,"80,8835","80,9390","79,8006","81,1426",7048100,"0,0166","0,0007",Bull,5
2022-03-28 00:00:00,"80,9668","81,7998","80,2911","81,8368",5981000,"0,0191","0,0103",Bull,1
2022-03-29 00:00:00,"83,0215","84,4376","82,9845","85,0577",8963200,"0,0250","0,0171",Bull,2
2022-03-30 00:00:00,"83,9933","84,2525","83,6694","84,7245",8122100,"0,0126","0,0031",Bull,3
2022-03-31 00:00:00,"84,5209","84,1970","84,1970","85,7334",11306100,"0,0182","-0,0038",Bear,4
2022-04-01 00:00:00,"84,6875","84,6782","83,7434","85,0484",6516300,"0,0154","-0,0001",Bear,5
2022-04-04 00:00:00,"81,3463","81,5314","79,7636","81,8738",16243100,"0,0259","0,0023",Bull,1
2022-04-05 00:00:00,"80,1153","77,8569","77,5793","80,1708",17525800,"0,0323","-0,0282",Bear,2
2022-04-06 00:00:00,"77,4219","77,1535","75,9596","77,6441",10567000,"0,0218","-0,0035",Bear,3
2022-04-07 00:00:00,"76,8111","76,9314","75,3857","77,2831",10869100,"0,0247","0,0016",Bull,4
2022-04-08 00:00:00,"76,9962","75,4505","75,2839","76,9962",9286800,"0,0222","-0,0201",Bear,5
2022-04-11 00:00:00,"74,8582","74,6731","74,3121","75,6541",8623200,"0,0179","-0,0025",Bear,1
2022-04-12 00:00:00,"74,8119","73,8493","73,7197","75,2191",8472500,"0,0200","-0,0129",Bear,2
2022-04-13 00:00:00,"73,9326","74,8952","73,6827","75,2562",8604400,"0,0213","0,0130",Bull,3
2022-04-14 00:00:00,"74,7379","73,5809","73,3495","75,0433",9567200,"0,0227","-0,0155",Bear,4
2022-04-18 00:00:00,"73,1552","73,6735","73,0071","74,0159",7797300,"0,0138","0,0071",Bull,1
2022-04-19 00:00:00,"73,6920","75,1729","73,4976","75,4690",8622100,"0,0268","0,0201",Bull,2
2022-04-20 00:00:00,"75,2562","74,2010","74,0437","75,4505",8368800,"0,0187","-0,0140",Bear,3
2022-04-21 00:00:00,"75,0155","73,0811","72,8683","75,1451",8152500,"0,0304","-0,0258",Bear,4
2022-04-22 00:00:00,"73,0164","72,1186","71,9890","73,5624",10315500,"0,0215","-0,0123",Bear,5
2022-04-25 00:00:00,"71,6188","72,1741","71,0172","72,2666",10259000,"0,0174","0,0078",Bull,1
2022-04-26 00:00:00,"71,7206","69,9991","69,9991","71,8039",8800500,"0,0252","-0,0240",Bear,2
2022-04-27 00:00:00,"69,7677","69,1753","69,1198","70,7395",8467300,"0,0232","-0,0085",Bear,3
2022-04-28 00:00:00,"69,9898","70,8783","69,2864","71,3596",8818500,"0,0296","0,0127",Bull,4
2022-04-29 00:00:00,"70,3600","69,0828","68,9347","71,0542",9199300,"0,0301","-0,0182",Bear,5
2022-05-02 00:00:00,"69,6474","69,7584","67,9999","70,0824",12379000,"0,0299","0,0016",Bull,1
